,Non_Reg_Coefficient,Ridge_Coefficient,Lasso_Coefficient,Elastic_Net_Coefficient
Street_1,0.17088754353775082,0.044185960540811045,0.10566739666461822,0.0
Condition2_2,0.21790215066451574,0.0397545018931632,0.03758769545221106,0.0
RoofMatl_1,0.525043320675209,0.05465318089479015,0.2221709590618907,0.0
Heating_1,-0.015134361234992877,-0.009158388773527293,-0.009711395493619154,0.0
GarageQual_4,0.02128915506541367,0.004342341890558376,0.0,0.0
CentralAir_1,0.08585047948444545,0.08482024832310901,0.08707530063160385,0.0
Functional_6,0.06330736234689686,0.0728117402454694,0.06112217938993407,0.0
LotFrontage,0.0004657655767406361,0.0004057035859284767,0.00048380684167293494,0.0005884340557537651
BsmtCond_3,0.04230574911913911,0.03678834350440338,0.03725239071655563,0.0
PavedDrive_2,0.02574473912923353,0.020767641819028793,0.019809522622460874,0.0
Electrical_4,-0.013714667545746259,0.006381908815020494,-0.003843954583107751,0.0
1stFlrSF,-0.00019417348532110856,-0.00012447453497561309,-0.0001637177619447713,-0.00022234730512950444
GrLivArea,0.00043450409726425443,0.0003954848497071265,0.0004192926517654153,0.0004981351874788911
LandContour_3,0.028429837416561996,0.016254040535076897,0.02707939327341342,-0.0
BsmtFinType2_5,-0.023786288748758728,-0.008705591791283074,-0.008598626008615363,0.0
ExterCond_4,-0.05129387071426712,0.01818296468001414,0.02491190798793934,0.0
TotalBsmtSF,0.00011497009592134622,0.00012434989589227226,0.00011270056417872333,0.00030135669123039396
SaleType_8,0.0016552168516782966,-0.006796459047539397,-0.0005093382985379468,-0.0
Condition1_2,0.08000678155378708,0.05239374131379058,0.06956717292251073,0.0
GarageArea,0.0001737476367183778,0.0001925523306795868,0.00017790139798644266,0.00047346767724785267
SaleCondition_4,0.06462364872605049,0.06394819220903507,0.06425539781724543,0.0
LotArea,3.216958525759095e-06,2.203327042551877e-06,2.6950266816700197e-06,-1.918672988494275e-06
MSZoning_3,0.3030483418579252,0.055792179184706185,0.23522233314314556,0.0
RoofStyle_1,-0.1885682328670543,-0.007903712424563834,-0.059719442076765133,0.0
LotConfig_4,-0.0001665636920005409,-0.0023794321786478017,-0.0,-0.0
BsmtExposure_3,-0.01954715224431321,-0.017676565551453517,-0.019831523622137387,-0.0
LotShape_3,0.012677942017719674,0.008503201936493888,0.011312809850292932,-0.0
GarageType_1,0.11580475869637975,0.026489232903471133,0.05387497878773001,0.0
ExterQual_3,0.020129651449221114,-0.027195161656073573,-0.0,-0.0
MasVnrType_2,0.03605099418272975,0.0013575765695848054,0.004623454842941999,-0.0
OverallCond_5,0.09170041084128004,0.005089100346122276,0.059028185914256695,0.0
FullBath_2,0.03246810648389108,0.022921051254213492,0.026766357065224042,0.0
BsmtFinSF1,4.939666991860686e-05,5.820361382964549e-05,5.380527483505741e-05,8.355315752480725e-05
KitchenQual_3,-0.0482911358401008,-0.03738820260952735,-0.031187075985617152,-0.0
HouseStyle_2,0.04782886010924921,0.003737882608189388,0.00972040576710476,-0.0
BsmtQual_3,-0.05282537792889136,-0.0510973020817849,-0.060823112723952535,-0.0
Fireplaces_1,0.02240126749018489,0.030457591925927893,0.027187251183173583,0.0
Foundation_2,0.06117104970231449,0.04757090739921678,0.05349965117691919,0.0
